projOrgFDate,wfoid,project_status,approvedOn,hardcopysubmissionDate,projectCost,projectType,districtName,project_address,total_est_cost_of_proj,payment_status,regNo,startDate,endDate,districtType,projectName,promoterAddress,regFee,project_cost,extDate,project_ack_no,promoterName,disposed_date
2024-12-31 05:30:00,11746,New,09-April-2021,2021-03-02 22:11:08,685933164,Residential/Group Housing,Vadodara,"Nilamber Grandeur II ,  Nr. Shantiniketan Society  ,  B/h  Priya Cinema , Canal Road, Bhayli , Vadodara- 391410",685933164,Paid,PR/GJ/VADODARA/VADODARA/Others/RAA08335/090421,26-November-2020,31-December-2024,Vadodara,NILAMBER GRANDEUR II,NA,133705.84,685933164,,PR/VADODARA/VADODARA/VADODARA TPO/210308/010578,BAY INVESTMENTS,
2025-03-31 05:30:00,11747,New,02-June-2021,2021-03-03 22:20:40,149317444,Mixed Development,Gandhinagar,MANORATH MALHAR NR. PRAMUKH BLISS AHMEDABAD GANDHINAGAR ROAD SARGASAN,149317444,Paid,PR/GJ/GANDHINAGAR/GANDHINAGAR/Others/MAA08546/020621,05-January-2021,31-March-2025,Gandhinagar,MANORATH MALHAR,3 DWAREKESH BUNGALOWS  GANDHINAGAR MANSA ROAD,59887.05,149317444,,PR/GANDHINAGAR/GANDHINAGAR/GANDHINAGAR TPO/210308/010579,MANORATH REALITY,
2025-07-31 05:30:00,11748,New,16-April-2021,2021-03-02 23:37:09,453857663,Mixed Development,Gandhinagar,"TULSI SAPPHIRE,OPP SIDDARTH BUNGALOWS VAVOL - KOLAVADA ROAD,VAVOL",453857663,Paid,PR/GJ/GANDHINAGAR/GANDHINAGAR/AUDA/MAA08340/160421,07-January-2021,31-July-2025,Gandhinagar,TULSI SAPPHIRE,NA,195885,453857663,,PR/GANDHINAGAR/GANDHINAGAR/GANDHINAGAR TPO/210315/010580,SAANVI INFRA,
2023-12-31 05:30:00,11749,New,25-May-2021,2021-03-05 19:35:55,517297090,Commercial,Surat,"TP NO. 07, FP NO. 14, SOLARIUM BUSINESS CENTRE, VESU, SURAT TP NO. 07, FP NO. 14, SOLARIUM BUSINESS CENTRE, VESU, SURAT",517297090,Paid,PR/GJ/SURAT/SURAT CITY/SUDA/CAA08499/250521,20-February-2021,31-December-2023,Surat,SOLARIUM BUSINESS CENTRE,NA,127380,517297090,,PR/SURAT/SURAT CITY/GANDHINAGAR TPO/210323/010582,SHRESHTHA GROUP OF DEVLOPERS,
2023-12-31 05:30:00,11750,New,11-May-2021,2021-03-02 22:45:51,15565735,Residential/Group Housing,Rajkot,"PLOT NO 14+15/P, SUB PLOT NO I & J, CITY SURVEY NO 1724, REVENUE SERVEY NO 476/P T.P.S. NO. 1 RAJKOT, O. P. NO. 61, F. P. 833, SUBHASH NAGAR STREENT NO. 2, RAIYA ROAD ROAD, RAJKOT-360001",15565735,Paid,PR/GJ/RAJKOT/RAJKOT/Others/RAA08443/110521,31-December-2020,31-December-2023,Rajkot,THE MARVEL,NA,10000,15565735,,PR/RAJKOT/RAJKOT/RAJKOT TPO/210310/010583,RAS DEVELOPERS,
2026-03-31 05:30:00,11751,New,10-May-2021,2021-03-04 21:31:16,486451550,Mixed Development,Surat,"T.P.S NO.-60 (PUNA) F.P.NO. -73, O.P. NO.75 BLOCK NO 201, YOGI CHOWK, MOJE-PUNA, SURAT-395010.",486451550,Paid,PR/GJ/SURAT/CHORASI/SUDA/MAA08439/100521,16-October-2020,31-March-2026,Surat,SAFFRON VALLEY,NA,219930,486451550,,PR/SURAT/CHORASI/SUDA/210308/010592,AMBICA CORPORATION,
2022-12-31 05:30:00,11752,New,22-April-2021,2021-03-03 00:25:21,4226473,Plotted Development,Rajkot,"SURVEY NO-169, NEAR RADHA INDUSTRIAL, KOTHARIYA, RAJKOT",4226473,Paid,PR/GJ/RAJKOT/RAJKOT/Others/PAA08364/220421,28-January-2021,31-December-2022,Rajkot,MAHADEV INDUSTRIAL ESTATE,NA,59740.9,4226473,,PR/RAJKOT/RAJKOT/RAJKOT TPO/210308/010584,HARDIKBHAI DILIPBHAI SHETH AND DILIPBHAI MANEKCHAND SHETH,
2028-03-31 05:30:00,11753,New,10-May-2021,2021-03-05 01:14:46,436135500,Mixed Development,Vadodara,SWARNIM SKY OPP SHIV TEMPLE BESIDE KISHAN CLASSIC  NEAR ZYDUS CADILA 12 MTR ROAD VASNA BHAYLI ROAD,436135500,Paid,PR/GJ/VADODARA/VADODARA/Others/MAA08437/100521,16-February-2021,31-March-2028,Vadodara,SWARNIM SKY,NA,212838.15,436135500,,PR/VADODARA/VADODARA/GANDHINAGAR TPO/210316/010585,YOGESHWAR INFRA,
2025-02-01 05:30:00,11754,New,25-May-2021,2021-03-12 23:56:35,646537060,Mixed Development,Ahmedabad,"18, Mehsana Society, Opp Laxmi Hospital Nava Wadaj",646537060,Paid,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA08504/250521,11-January-2021,01-February-2025,Ahmedabad,Pearl167,NA,204564.15,706189000,,PR/AHMEDABAD/AHMEDABAD CITY/AHMEDABAD TPO/210322/010587,AVIS INFRA,
2024-12-31 05:30:00,11755,New,24-May-2021,2021-03-03 18:49:44,6100000,Plotted Development,Bhavnagar,"SURVEY NO.188/2/P1/P2, VARTEJ BHAVNAGAR-AHMEDABAD SHORT-WAY, CHITRA-VARTEJ, BHAVNAGAR",6100000,Paid,PR/GJ/BHAVNAGAR/BHAVNAGAR/Others/PAA08487/240521,16-January-2020,31-December-2024,Bhavnagar,SHREE RAM INDUSTRIAL PARK,NA,61987.8,6100000,,PR/BHAVNAGAR/BHAVNAGAR/BHAVNAGAR TPO/210322/010588,GOVINDBHAI HARIBHAI DONDA AND OTHERS,
